sparsity,performance,config_list
0.95,0.1261,"[{""op_names"": [""layer3.0.downsample.0""], ""sparsity"": 0.20307821365316228, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.31763551708046556, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.3981949960563889, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.6238091721768736, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.6318844768182756, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.6624485542866927, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.downsample.0""], ""sparsity"": 0.6971518674538857, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.7370692280827166, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.7396513410658124, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.7769044003838402, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.878195936339864, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.898152803191503, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.9415022720274774, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.9620811080922663, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.9793173664586723, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.9825943763098102, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.9879220941819241, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.992207852715343, ""op_types"": [""Conv2d""]}]"
0.95,0.0998,"[{""op_names"": [""conv1""], ""sparsity"": 0.09654657442686153, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.downsample.0""], ""sparsity"": 0.29262678997682834, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.3164123092514649, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.6469690101149272, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.6545624675339548, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.6551569181308458, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.7579298775519396, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.downsample.0""], ""sparsity"": 0.7783427931152115, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.7815378707285641, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.8214110319243303, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.8252849329257286, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.879172840832007, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.883184973195308, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.9081388563235856, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.9322460363496187, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.9525950610084266, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.9872433702640921, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.9910623113827816, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.9924509712751128, ""op_types"": [""Conv2d""]}]"
0.95,0.0997,"[{""op_names"": [""conv1""], ""sparsity"": 0.11832372058938251, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.downsample.0""], ""sparsity"": 0.27967520733613926, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.41704612338988145, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.4236446286549785, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.5880379735626023, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.6342140150836758, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.7378611577381544, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.downsample.0""], ""sparsity"": 0.7434334542827212, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.772221664812643, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.7978627520345518, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.849073595360654, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.8824138291181022, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.9097706468618988, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.9304646615999672, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.9550146746926279, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.9684355426132676, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.972511889248202, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.9848848520431361, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.9936237571716633, ""op_types"": [""Conv2d""]}]"
0.95,0.1001,"[{""op_names"": [""conv1""], ""sparsity"": 0.3307458520424933, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.downsample.0""], ""sparsity"": 0.3575236022417617, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.45771412298669906, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.5671759010030677, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.580174049932765, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.5894347227846737, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.6623013053159376, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.downsample.0""], ""sparsity"": 0.7775060815271287, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.8014644923843585, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.8103079308727765, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.8317755180231722, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.9036092022013694, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.905956938012662, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.9137848854028129, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.9472096439957235, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.9671954329646928, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.9711939929613936, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.9846449691647237, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.9951885652290862, ""op_types"": [""Conv2d""]}]"
0.95,0.1451,"[{""op_names"": [""layer2.0.downsample.0""], ""sparsity"": 0.005293966289228597, ""op_types"": [""Conv2d""]}, {""op_names"": [""conv1""], ""sparsity"": 0.09734411798311043, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.downsample.0""], ""sparsity"": 0.4763167294986049, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.49799557881219964, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.5255794194093252, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.5444236387625155, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.5664981399728849, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.575063099285766, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.downsample.0""], ""sparsity"": 0.6849714316816845, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.717342375717866, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.7963960478237927, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.8390903658411083, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.8807415065319167, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.8934113911558075, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.9304074515010955, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.9380263703917764, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.9760535366289206, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.9790728348283011, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.9888636606485487, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.9965321564536732, ""op_types"": [""Conv2d""]}]"
0.95,0.1104,"[{""op_names"": [""layer3.0.downsample.0""], ""sparsity"": 0.4169674585026141, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.49312812714251303, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.5411260786467346, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.5746680396152264, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.5939739998655783, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.6922427236220096, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.downsample.0""], ""sparsity"": 0.7620341993031541, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.8177236256505636, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.8356576643911097, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.8767677069898904, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.886041633291276, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.890233775461462, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.8969335647921987, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.9072009540967041, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.9426981863630245, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.9819128683617421, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.9970757822342632, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.9995030673197202, ""op_types"": [""Conv2d""]}]"
0.95,0.1371,"[{""op_names"": [""layer2.0.downsample.0""], ""sparsity"": 0.11267296269392935, ""op_types"": [""Conv2d""]}, {""op_names"": [""conv1""], ""sparsity"": 0.12413983180695279, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.downsample.0""], ""sparsity"": 0.3650491583831916, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.37079784853228054, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.38520801037281915, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.5492350945445416, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.6108905829976046, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.6420576173338836, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.downsample.0""], ""sparsity"": 0.6483854488043004, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.7073134365893406, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.7337005848113654, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.7728566315939002, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.9132736458612541, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.9168240554538029, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.9356421582827104, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.9387594382219817, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.9666303576987615, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.9871336984938035, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.9904741961941617, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.9932642299542976, ""op_types"": [""Conv2d""]}]"
0.95,0.1001,"[{""op_names"": [""layer2.0.downsample.0""], ""sparsity"": 0.14044250812537173, ""op_types"": [""Conv2d""]}, {""op_names"": [""conv1""], ""sparsity"": 0.1610654996585081, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.downsample.0""], ""sparsity"": 0.22569673559263284, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.33537179818674656, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.42269335707207034, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.5046470832069608, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.5465564086135214, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.7691130782229573, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.downsample.0""], ""sparsity"": 0.8172214654331599, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.818364883527705, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.8316255280698704, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.8587685426213074, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.8615034894377624, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.8771026259523264, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.8793143959916156, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.9381338466420495, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.9770790556671928, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.9844186833076948, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.9877410689970757, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.9957080058493312, ""op_types"": [""Conv2d""]}]"
0.95,0.1017,"[{""op_names"": [""layer2.0.downsample.0""], ""sparsity"": 0.06231821047898792, ""op_types"": [""Conv2d""]}, {""op_names"": [""conv1""], ""sparsity"": 0.1352715878585937, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.downsample.0""], ""sparsity"": 0.1776564937841848, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.39988000483523517, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.41297860552182425, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.5241150253717435, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.6357011609187339, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.7528354099752644, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.downsample.0""], ""sparsity"": 0.7588216073883464, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.8082168669313093, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.8585980438499375, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.8726139288849319, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.9124304299003149, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.9185799484820895, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.9248815833152906, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.9310654496014811, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.9336618971980947, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.9704118032804752, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.9935019611418615, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.999626714989672, ""op_types"": [""Conv2d""]}]"
0.95,0.1131,"[{""op_names"": [""layer2.0.downsample.0""], ""sparsity"": 0.06025716425499438, ""op_types"": [""Conv2d""]}, {""op_names"": [""conv1""], ""sparsity"": 0.06877004310902525, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.downsample.0""], ""sparsity"": 0.1972622719245891, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv1""], ""sparsity"": 0.2654947556257055, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.0.conv2""], ""sparsity"": 0.34113287879350557, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv1""], ""sparsity"": 0.37020262969595424, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer1.1.conv2""], ""sparsity"": 0.5474783859906027, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv1""], ""sparsity"": 0.6055951394908158, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.downsample.0""], ""sparsity"": 0.7610957176697918, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.0.conv2""], ""sparsity"": 0.83365948883076, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv1""], ""sparsity"": 0.8574238093981095, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer2.1.conv2""], ""sparsity"": 0.8587132404641158, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv1""], ""sparsity"": 0.8608947056174885, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.0.conv2""], ""sparsity"": 0.8863351054523828, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv1""], ""sparsity"": 0.9197259494871292, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer3.1.conv2""], ""sparsity"": 0.9742459397764351, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv1""], ""sparsity"": 0.9770042691014619, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.0.conv2""], ""sparsity"": 0.9801752960751617, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv1""], ""sparsity"": 0.9872262636677985, ""op_types"": [""Conv2d""]}, {""op_names"": [""layer4.1.conv2""], ""sparsity"": 0.9902964300604158, ""op_types"": [""Conv2d""]}]"
