sparsity,performance,config_list
0.95,0.1,"[{""op_names"": [""feature.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5558546574175051}, {""op_names"": [""feature.3""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5573159779809642}, {""op_names"": [""feature.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5798199976915541}, {""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7442129369009841}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7668643052637494}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8195567011587074}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8424858334387206}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9080746935632008}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9429589790189518}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9611735470715833}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9889309520510852}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9927453423898867}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9983917060486751}]"
0.95,0.1,"[{""op_names"": [""feature.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3973814733899156}, {""op_names"": [""feature.3""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4060631747462134}, {""op_names"": [""feature.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.44013279679251127}, {""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6132411781228436}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.662291978083934}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7017961975403936}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8610081933746535}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9482389061670428}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9505943501814234}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9865836723002379}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9898253554513816}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9932941489590258}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.996732315778854}]"
0.95,0.1,"[{""op_names"": [""feature.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.12763173919639784}, {""op_names"": [""feature.3""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3467594666161892}, {""op_names"": [""feature.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.34677391697177673}, {""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6010523601647138}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.74355958065382}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8103493952780758}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.879863919675327}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9240634982276743}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9488986168433308}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9760055440443695}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9788934655812442}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9898609510007482}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9982512571573505}]"
0.95,0.1,"[{""op_names"": [""feature.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.13397326153831954}, {""op_names"": [""feature.3""], ""op_types"": [""Conv2d""], ""sparsity"": 0.20016201017777221}, {""op_names"": [""feature.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3939162696822493}, {""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.47351771610252097}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7258247719469727}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7864684849696748}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.918002302304006}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9449820439942935}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9534264589241741}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9734785239492855}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.975338691607852}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9905049299806837}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9961385776281965}]"
0.95,0.1,"[{""op_names"": [""feature.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07192241563437245}, {""op_names"": [""feature.3""], ""op_types"": [""Conv2d""], ""sparsity"": 0.33228637867162286}, {""op_names"": [""feature.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5057867786445531}, {""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5312975539230979}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8176777372446871}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9080915001290295}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9098384322582821}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9373590425014997}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9449101527702054}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9638808544009483}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9736717418541606}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9780139756825971}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9832494609717952}]"
0.95,0.1,"[{""op_names"": [""feature.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2169361689204004}, {""op_names"": [""feature.3""], ""op_types"": [""Conv2d""], ""sparsity"": 0.29787732212196283}, {""op_names"": [""feature.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.31945673063951735}, {""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5431590907463232}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6788829790273445}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8280672717562068}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8492708869356153}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9539201042491536}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9578690107871421}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9630588679234732}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.977942856491246}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9969608156627163}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9976241622840123}]"
0.95,0.1,"[{""op_names"": [""feature.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04369931769463794}, {""op_names"": [""feature.3""], ""op_types"": [""Conv2d""], ""sparsity"": 0.47505702118195825}, {""op_names"": [""feature.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.48599246668648083}, {""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6337195084461495}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7324582568441134}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9125146709180315}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9131719194772779}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9468735977788454}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9512358727168597}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9586721595995004}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.965641588213148}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9734565540660622}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9906833393252259}]"
0.95,0.1,"[{""op_names"": [""feature.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.028006701178048914}, {""op_names"": [""feature.3""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3992171215994244}, {""op_names"": [""feature.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.41775757669038455}, {""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7713963251072116}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7867586213267279}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8191624812266235}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8815133819801586}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9097386613081879}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9452816406566628}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9664323913541103}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9761181350280485}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9904814158594637}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9991325264134889}]"
0.95,0.1,"[{""op_names"": [""feature.3""], ""op_types"": [""Conv2d""], ""sparsity"": 0.35316782161966925}, {""op_names"": [""feature.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.42157046578894103}, {""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7452780425998062}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8459859734028706}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8695865652034219}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8768728137624602}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8794828738577576}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9479824834862332}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9582389274473004}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9785960581123057}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9937345764813482}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9974250755333371}]"
0.95,0.1,"[{""op_names"": [""feature.3""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2571457265208258}, {""op_names"": [""feature.7""], ""op_types"": [""Conv2d""], ""sparsity"": 0.48695519505087015}, {""op_names"": [""feature.10""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7535161307637858}, {""op_names"": [""feature.14""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8139827562507698}, {""op_names"": [""feature.17""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9074960906948831}, {""op_names"": [""feature.20""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9337366544505983}, {""op_names"": [""feature.24""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9418642964607009}, {""op_names"": [""feature.27""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9509956212305642}, {""op_names"": [""feature.30""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9537979191885373}, {""op_names"": [""feature.34""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9597318841983477}, {""op_names"": [""feature.37""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9770374765841562}, {""op_names"": [""feature.40""], ""op_types"": [""Conv2d""], ""sparsity"": 0.9824735946962642}]"
